android,genre,review_ratting,size_pro
0.0,0.0,3.0,0.0
0.0,0.0,5.0,0.0
0.0,0.0,3.0,0.0
4.4,1.0,3.0,1.0
4.4,1.0,1.0,1.0
4.4,1.0,1.0,1.0
4.4,1.0,1.0,1.0
4.4,1.0,5.0,1.0
4.1,2.0,5.0,2.0
4.1,2.0,5.0,2.0
4.1,2.0,2.0,2.0
4.0,3.0,4.0,3.0
4.0,3.0,5.0,3.0
4.0,3.0,5.0,3.0
4.0,3.0,4.0,3.0
4.0,3.0,1.0,3.0
4.0,3.0,5.0,3.0
4.0,3.0,4.0,3.0
4.0,3.0,5.0,3.0
0.0,4.0,1.0,0.0
0.0,4.0,4.0,0.0
0.0,4.0,2.0,0.0
0.0,5.0,3.0,0.0
0.0,5.0,3.0,0.0
0.0,5.0,1.0,0.0
0.0,5.0,4.0,0.0
0.0,6.0,2.0,0.0
0.0,6.0,5.0,0.0
0.0,6.0,4.0,0.0
4.03,7.0,5.0,4.0
4.03,7.0,1.0,4.0
4.03,7.0,4.0,4.0
4.03,7.0,5.0,4.0
4.1,8.0,5.0,5.0
4.1,8.0,5.0,5.0
4.1,8.0,5.0,5.0
4.1,8.0,1.0,5.0
0.0,9.0,1.0,0.0
0.0,9.0,5.0,0.0
0.0,9.0,5.0,0.0
0.0,9.0,5.0,0.0
4.1,3.0,5.0,6.0
4.1,3.0,1.0,6.0
4.1,3.0,5.0,6.0
0.0,10.0,1.0,0.0
0.0,10.0,4.0,0.0
0.0,10.0,1.0,0.0
0.0,10.0,3.0,0.0
4.1,11.0,1.0,1.0
4.1,11.0,1.0,1.0
4.1,11.0,3.0,1.0
4.4,12.0,1.0,7.0
4.4,12.0,1.0,7.0
4.4,12.0,1.0,7.0
0.0,13.0,3.0,8.0
0.0,13.0,4.0,8.0
0.0,13.0,5.0,8.0
0.0,13.0,5.0,8.0
4.1,14.0,5.0,9.0
4.1,14.0,5.0,9.0
4.1,14.0,5.0,9.0
4.1,14.0,5.0,9.0
4.1,14.0,1.0,9.0
0.0,15.0,1.0,0.0
0.0,15.0,2.0,0.0
0.0,15.0,2.0,0.0
0.0,15.0,4.0,0.0
0.0,15.0,3.0,0.0
0.0,15.0,5.0,0.0
0.0,15.0,5.0,0.0
0.0,15.0,5.0,0.0
0.0,15.0,4.0,0.0
0.0,15.0,1.0,0.0
0.0,15.0,1.0,0.0
0.0,15.0,1.0,0.0
0.0,15.0,4.0,0.0
0.0,15.0,5.0,0.0
0.0,15.0,5.0,0.0
4.03,10.0,4.0,10.0
4.03,10.0,4.0,10.0
4.03,10.0,5.0,10.0
4.03,10.0,4.0,10.0
4.1,16.0,4.0,7.0
4.1,16.0,4.0,7.0
4.1,16.0,4.0,7.0
4.0,0.0,5.0,7.0
4.0,0.0,4.0,7.0
4.0,0.0,1.0,7.0
4.0,0.0,5.0,7.0
4.0,10.0,4.0,11.0
4.0,10.0,5.0,11.0
4.0,10.0,5.0,11.0
4.1,17.0,3.0,12.0
4.1,17.0,2.0,12.0
4.1,17.0,1.0,12.0
4.1,17.0,4.0,13.0
4.1,17.0,5.0,13.0
4.03,17.0,1.0,14.0
4.03,17.0,5.0,14.0
4.03,17.0,1.0,14.0
4.03,17.0,1.0,14.0
0.0,18.0,5.0,0.0
0.0,18.0,4.0,0.0
0.0,18.0,5.0,0.0
0.0,18.0,1.0,0.0
0.0,18.0,4.0,0.0
4.1,16.0,1.0,7.0
4.1,16.0,3.0,7.0
4.1,16.0,3.0,7.0
4.1,16.0,5.0,7.0
4.1,16.0,3.0,7.0
4.1,18.0,4.0,1.0
4.1,18.0,4.0,1.0
4.1,18.0,3.0,1.0
4.1,18.0,5.0,1.0
4.1,18.0,5.0,1.0
0.0,18.0,1.0,0.0
0.0,18.0,5.0,0.0
0.0,18.0,5.0,0.0
0.0,18.0,4.0,0.0
